feature,importance_v1,importance_v2,rank_v1,rank_v2,rank_change,importance_change,importance_change_pct
gcs_total,0.40423602,0.40308696,1,1,0,-0.0011490583,-0.2842543
news_score,0.3393697,0.3321748,2,2,0,-0.0071949065,-2.120079
anchor_age,0.27062374,0.28884402,3,3,0,0.018220276,6.7326965
creatinine,0.22161111,0.24749331,5,4,1,0.0258822,11.679107
gcs_motor,0.2657358,0.24727742,4,5,-1,-0.018458381,-6.94614
rr_max_6h,0.18470073,0.22436267,6,6,0,0.039661944,21.473627
mews_score,0.12500897,0.1790206,7,7,0,0.054011628,43.206203
lactate,0.10540892,0.14855006,9,8,1,0.04314114,40.92741
spo2_min_6h,0.10613727,0.12182533,8,9,-1,0.015688062,14.780918
modified_shock_index,0.10001124,0.09251449,10,10,0,-0.0074967444,-7.4959016
urine_ml_6h,0.08258446,0.09076014,12,11,1,0.008175679,9.899778
gcs_eye,0.08460422,0.08787192,11,12,-1,0.003267698,3.8623345
gcs_verbal,0.049017034,0.07298276,17,13,4,0.023965724,48.892643
shock_index,0.057318646,0.058768846,15,14,1,0.0014501996,2.530066
potassium,0.059082087,0.050237913,13,15,-2,-0.008844174,-14.969299
mbp_max_6h,0.05241676,0.04977302,16,16,0,-0.0026437417,-5.043695
temp,0.05826885,0.04155116,14,17,-3,-0.016717687,-28.690609
gcs_missing_flag,0.03442512,0.040708706,23,18,5,0.006283585,18.252907
hr_mean_6h,0.033624407,0.035763033,24,19,5,0.0021386258,6.3603377
wbc,0.04512273,0.028991966,18,20,-2,-0.016130766,-35.748646
mbp_mean_6h,0.030420892,0.022732241,27,21,6,-0.007688651,-25.274244
sbp_max_6h,0.032636262,0.022231305,26,22,4,-0.010404957,-31.881582
hr_max_6h,0.021924492,0.02110346,30,23,7,-0.00082103163,-3.7448149
hr_min_6h,0.036588203,0.019760638,21,24,-3,-0.016827565,-45.991776
rr_min_6h,0.03955486,0.019587865,19,25,-6,-0.019966995,-50.479244
rr_mean_6h,0.032820746,0.018846693,25,26,-1,-0.013974054,-42.576893
urine_ml_kg_hr_avg,0.034807883,0.017426737,22,27,-5,-0.017381147,-49.934513
lactate_missing,0.021064896,0.014860113,31,28,3,-0.006204783,-29.45556
hr,0.016277261,0.014708859,34,29,5,-0.0015684022,-9.635541
spo2,0.018768009,0.014277874,32,30,2,-0.0044901352,-23.924408
spo2_std_6h,0.022035027,0.014218295,29,31,-2,-0.007816732,-35.47412
hours_in_icu,0.016987367,0.012760936,33,32,1,-0.0042264303,-24.879845
platelets,0.03861363,0.01270018,20,33,-13,-0.025913449,-67.10959
mbp_min_6h,0.012999764,0.010832971,37,34,3,-0.0021667928,-16.66794
sodium,0.02315512,0.010041048,28,35,-7,-0.013114071,-56.63573
rr,0.0075728134,0.0056191357,41,36,5,-0.0019536777,-25.79857
sbp_min_6h,0.013228722,0.0046803355,36,37,-1,-0.008548386,-64.619896
pulse_pressure,0.015901932,0.004033248,35,38,-3,-0.011868685,-74.63675
mbp,0.0025730885,0.0031705154,48,39,9,0.0005974269,23.21828
urine_missing_flag,0.00082947063,0.0020040742,56,40,16,0.0011746036,141.60883
sbp_std_6h,0.005199117,0.0016808918,43,41,2,-0.0035182252,-67.66966
spo2_mean_6h,0.009680046,0.0016311916,39,42,-3,-0.008048854,-83.14892
spo2_max_6h,0.004706111,0.0012368432,44,43,1,-0.0034692676,-73.71835
dbp,0.011204621,0.0011808771,38,44,-6,-0.010023744,-89.4608
sbp,0.0057654832,0.0010449287,42,45,-3,-0.0047205547,-81.87614
gender_male,0.0031884478,0.0009879989,45,46,-1,-0.002200449,-69.013176
hr_delta_3h,0.0013889717,0.0008259235,53,47,6,-0.0005630482,-40.537052
sbp_mean_6h,0.008508531,0.00068393664,40,48,-8,-0.007824595,-91.96176
lactate_slope_3h,0.0027863535,0.0006834366,46,49,-3,-0.0021029168,-75.472
rr_std_6h,0.001686245,0.0005736116,50,50,0,-0.0011126334,-65.9829
oliguria_flag,0.0014589574,0.00038515977,51,51,0,-0.0010737977,-73.60035
hr_std_6h,0.0019091999,0.00027516743,49,52,-3,-0.0016340325,-85.587296
spo2_slope_3h,0.001417504,0.00025870334,52,53,-1,-0.0011588007,-81.749374
spo2_delta_3h,0.00056509255,4.4264863e-05,58,54,4,-0.00052082766,-92.16679
sbp_delta_3h,0.0005025458,3.581205e-05,59,55,4,-0.00046673373,-92.87387
spo2_delta_1h,0.0010545942,3.1377687e-05,54,56,-2,-0.0010232165,-97.024666
mbp_delta_3h,0.00095839263,0.0,55,61,-6,-0.00095839263,-100.0
mbp_slope_3h,0.00057941105,0.0,57,61,-4,-0.00057941105,-100.0
mbp_std_6h,0.002599493,0.0,47,61,-14,-0.002599493,-100.0
lactate_delta_3h,0.00043673243,0.0,60,61,-1,-0.00043673243,-100.0
hr_delta_1h,0.00040561246,0.0,61,61,0,-0.00040561246,-100.0
hr_slope_3h,0.00034480268,0.0,62,61,1,-0.00034480268,-100.0
sbp_slope_3h,0.00032488952,0.0,63,61,2,-0.00032488952,-100.0
lactate_delta_1h,0.00027469097,0.0,64,61,3,-0.00027469097,-100.0
sbp_delta_1h,0.0002606277,0.0,65,61,4,-0.0002606277,-100.0
mbp_delta_1h,0.0001383819,0.0,66,61,5,-0.0001383819,-100.0
