feature,importance
gcs_total,0.40308696
news_score,0.3321748
anchor_age,0.28884402
creatinine,0.24749331
gcs_motor,0.24727742
rr_max_6h,0.22436267
mews_score,0.1790206
lactate,0.14855006
spo2_min_6h,0.12182533
modified_shock_index,0.09251449
urine_ml_6h,0.09076014
gcs_eye,0.08787192
gcs_verbal,0.07298276
shock_index,0.058768846
potassium,0.050237913
mbp_max_6h,0.04977302
temp,0.04155116
gcs_missing_flag,0.040708706
hr_mean_6h,0.035763033
wbc,0.028991966
mbp_mean_6h,0.022732241
sbp_max_6h,0.022231305
hr_max_6h,0.02110346
hr_min_6h,0.019760638
rr_min_6h,0.019587865
rr_mean_6h,0.018846693
urine_ml_kg_hr_avg,0.017426737
lactate_missing,0.014860113
hr,0.014708859
spo2,0.014277874
spo2_std_6h,0.014218295
hours_in_icu,0.012760936
platelets,0.01270018
mbp_min_6h,0.010832971
sodium,0.010041048
rr,0.0056191357
sbp_min_6h,0.0046803355
pulse_pressure,0.004033248
mbp,0.0031705154
urine_missing_flag,0.0020040742
sbp_std_6h,0.0016808918
spo2_mean_6h,0.0016311916
spo2_max_6h,0.0012368432
dbp,0.0011808771
sbp,0.0010449287
gender_male,0.0009879989
hr_delta_3h,0.0008259235
sbp_mean_6h,0.00068393664
lactate_slope_3h,0.0006834366
rr_std_6h,0.0005736116
oliguria_flag,0.00038515977
hr_std_6h,0.00027516743
spo2_slope_3h,0.00025870334
spo2_delta_3h,4.4264863e-05
sbp_delta_3h,3.581205e-05
spo2_delta_1h,3.1377687e-05
lactate_delta_3h,0.0
sbp_slope_3h,0.0
lactate_delta_1h,0.0
mbp_slope_3h,0.0
mbp_delta_3h,0.0
mbp_delta_1h,0.0
sbp_delta_1h,0.0
hr_slope_3h,0.0
hr_delta_1h,0.0
mbp_std_6h,0.0
